master_id,master_fileID,slave_id,slave_fileID,delta_days,track
S1A_IW_SLC__1SDV_20210101T220543_20210101T220613_035950_043606_67BE,S1A_IW_SLC__1SDV_20210101T220543_20210101T220613_035950_043606_67BE-SLC,S1A_IW_SLC__1SDV_20210113T220543_20210113T220613_036125_043C3B_65C4,S1A_IW_SLC__1SDV_20210113T220543_20210113T220613_036125_043C3B_65C4-SLC,12,3
S1A_IW_SLC__1SDV_20210101T220611_20210101T220639_035950_043606_A7D0,S1A_IW_SLC__1SDV_20210101T220611_20210101T220639_035950_043606_A7D0-SLC,S1A_IW_SLC__1SDV_20210113T220636_20210113T220703_036125_043C3B_477B,S1A_IW_SLC__1SDV_20210113T220636_20210113T220703_036125_043C3B_477B-SLC,12,3
S1A_IW_SLC__1SDV_20210101T220637_20210101T220704_035950_043606_AC61,S1A_IW_SLC__1SDV_20210101T220637_20210101T220704_035950_043606_AC61-SLC,S1A_IW_SLC__1SDV_20210113T220701_20210113T220728_036125_043C3B_E674,S1A_IW_SLC__1SDV_20210113T220701_20210113T220728_036125_043C3B_E674-SLC,12,3
S1A_IW_SLC__1SDV_20210101T220702_20210101T220728_035950_043606_9702,S1A_IW_SLC__1SDV_20210101T220702_20210101T220728_035950_043606_9702-SLC,S1A_IW_SLC__1SDV_20210113T220726_20210113T220753_036125_043C3B_45D7,S1A_IW_SLC__1SDV_20210113T220726_20210113T220753_036125_043C3B_45D7-SLC,12,3
S1A_IW_SLC__1SDV_20210101T220726_20210101T220753_035950_043606_EC29,S1A_IW_SLC__1SDV_20210101T220726_20210101T220753_035950_043606_EC29-SLC,S1A_IW_SLC__1SDV_20210113T220726_20210113T220753_036125_043C3B_45D7,S1A_IW_SLC__1SDV_20210113T220726_20210113T220753_036125_043C3B_45D7-SLC,12,3
S1A_IW_SLC__1SDV_20210101T220751_20210101T220818_035950_043606_CFF0,S1A_IW_SLC__1SDV_20210101T220751_20210101T220818_035950_043606_CFF0-SLC,S1A_IW_SLC__1SDV_20210113T220751_20210113T220818_036125_043C3B_B807,S1A_IW_SLC__1SDV_20210113T220751_20210113T220818_036125_043C3B_B807-SLC,12,3
S1A_IW_SLC__1SDV_20210101T220816_20210101T220844_035950_043606_C853,S1A_IW_SLC__1SDV_20210101T220816_20210101T220844_035950_043606_C853-SLC,S1A_IW_SLC__1SDV_20210113T220841_20210113T220908_036125_043C3B_1303,S1A_IW_SLC__1SDV_20210113T220841_20210113T220908_036125_043C3B_1303-SLC,12,3
S1A_IW_SLC__1SDV_20210101T220842_20210101T220909_035950_043606_B9AB,S1A_IW_SLC__1SDV_20210101T220842_20210101T220909_035950_043606_B9AB-SLC,S1A_IW_SLC__1SDV_20210125T220542_20210125T220612_036300_044247_70DA,S1A_IW_SLC__1SDV_20210125T220542_20210125T220612_036300_044247_70DA-SLC,23,3
S1A_IW_SLC__1SDV_20210113T220543_20210113T220613_036125_043C3B_65C4,S1A_IW_SLC__1SDV_20210113T220543_20210113T220613_036125_043C3B_65C4-SLC,S1A_IW_SLC__1SDV_20210125T220610_20210125T220638_036300_044247_EE02,S1A_IW_SLC__1SDV_20210125T220610_20210125T220638_036300_044247_EE02-SLC,12,3
S1A_IW_SLC__1SDV_20210113T220610_20210113T220638_036125_043C3B_54C3,S1A_IW_SLC__1SDV_20210113T220610_20210113T220638_036125_043C3B_54C3-SLC,S1A_IW_SLC__1SDV_20210125T220610_20210125T220638_036300_044247_EE02,S1A_IW_SLC__1SDV_20210125T220610_20210125T220638_036300_044247_EE02-SLC,12,3
S1A_IW_SLC__1SDV_20210113T220636_20210113T220703_036125_043C3B_477B,S1A_IW_SLC__1SDV_20210113T220636_20210113T220703_036125_043C3B_477B-SLC,S1A_IW_SLC__1SDV_20210125T220636_20210125T220703_036300_044247_FFCA,S1A_IW_SLC__1SDV_20210125T220636_20210125T220703_036300_044247_FFCA-SLC,12,3
S1A_IW_SLC__1SDV_20210113T220701_20210113T220728_036125_043C3B_E674,S1A_IW_SLC__1SDV_20210113T220701_20210113T220728_036125_043C3B_E674-SLC,S1A_IW_SLC__1SDV_20210125T220701_20210125T220727_036300_044247_34E6,S1A_IW_SLC__1SDV_20210125T220701_20210125T220727_036300_044247_34E6-SLC,12,3
S1A_IW_SLC__1SDV_20210113T220726_20210113T220753_036125_043C3B_45D7,S1A_IW_SLC__1SDV_20210113T220726_20210113T220753_036125_043C3B_45D7-SLC,S1A_IW_SLC__1SDV_20210125T220750_20210125T220817_036300_044247_4761,S1A_IW_SLC__1SDV_20210125T220750_20210125T220817_036300_044247_4761-SLC,12,3
S1A_IW_SLC__1SDV_20210113T220751_20210113T220818_036125_043C3B_B807,S1A_IW_SLC__1SDV_20210113T220751_20210113T220818_036125_043C3B_B807-SLC,S1A_IW_SLC__1SDV_20210125T220815_20210125T220843_036300_044247_3049,S1A_IW_SLC__1SDV_20210125T220815_20210125T220843_036300_044247_3049-SLC,12,3
S1A_IW_SLC__1SDV_20210113T220815_20210113T220843_036125_043C3B_887F,S1A_IW_SLC__1SDV_20210113T220815_20210113T220843_036125_043C3B_887F-SLC,S1A_IW_SLC__1SDV_20210125T220815_20210125T220843_036300_044247_3049,S1A_IW_SLC__1SDV_20210125T220815_20210125T220843_036300_044247_3049-SLC,12,3
S1A_IW_SLC__1SDV_20210113T220841_20210113T220908_036125_043C3B_1303,S1A_IW_SLC__1SDV_20210113T220841_20210113T220908_036125_043C3B_1303-SLC,S1A_IW_SLC__1SDV_20210125T220841_20210125T220908_036300_044247_7DCB,S1A_IW_SLC__1SDV_20210125T220841_20210125T220908_036300_044247_7DCB-SLC,12,3
S1A_IW_SLC__1SDV_20210102T102622_20210102T102650_035957_043649_8108,S1A_IW_SLC__1SDV_20210102T102622_20210102T102650_035957_043649_8108-SLC,S1A_IW_SLC__1SDV_20210114T102647_20210114T102714_036132_043C74_EB9A,S1A_IW_SLC__1SDV_20210114T102647_20210114T102714_036132_043C74_EB9A-SLC,12,10
S1A_IW_SLC__1SDV_20210102T102648_20210102T102715_035957_043649_6F09,S1A_IW_SLC__1SDV_20210102T102648_20210102T102715_035957_043649_6F09-SLC,S1A_IW_SLC__1SDV_20210114T102712_20210114T102730_036132_043C74_A0CF,S1A_IW_SLC__1SDV_20210114T102712_20210114T102730_036132_043C74_A0CF-SLC,12,10
S1A_IW_SLC__1SDV_20210102T102712_20210102T102730_035957_043649_6DAF,S1A_IW_SLC__1SDV_20210102T102712_20210102T102730_035957_043649_6DAF-SLC,S1A_IW_SLC__1SDV_20210114T102712_20210114T102730_036132_043C74_A0CF,S1A_IW_SLC__1SDV_20210114T102712_20210114T102730_036132_043C74_A0CF-SLC,12,10
S1B_IW_SLC__1SDV_20210108T102529_20210108T102556_025061_02FBAA_61C4,S1B_IW_SLC__1SDV_20210108T102529_20210108T102556_025061_02FBAA_61C4-SLC,S1B_IW_SLC__1SDV_20210120T102554_20210120T102621_025236_030144_F377,S1B_IW_SLC__1SDV_20210120T102554_20210120T102621_025236_030144_F377-SLC,12,10
S1B_IW_SLC__1SDV_20210108T102554_20210108T102621_025061_02FBAA_DF1D,S1B_IW_SLC__1SDV_20210108T102554_20210108T102621_025061_02FBAA_DF1D-SLC,S1B_IW_SLC__1SDV_20210120T102554_20210120T102621_025236_030144_F377,S1B_IW_SLC__1SDV_20210120T102554_20210120T102621_025236_030144_F377-SLC,12,10
S1B_IW_SLC__1SDV_20210108T102619_20210108T102637_025061_02FBAA_8188,S1B_IW_SLC__1SDV_20210108T102619_20210108T102637_025061_02FBAA_8188-SLC,S1B_IW_SLC__1SDV_20210120T102619_20210120T102636_025236_030144_1F96,S1B_IW_SLC__1SDV_20210120T102619_20210120T102636_025236_030144_1F96-SLC,12,10
S1A_IW_SLC__1SDV_20210114T102621_20210114T102649_036132_043C74_8F70,S1A_IW_SLC__1SDV_20210114T102621_20210114T102649_036132_043C74_8F70-SLC,S1A_IW_SLC__1SDV_20210126T102621_20210126T102649_036307_044286_F8CA,S1A_IW_SLC__1SDV_20210126T102621_20210126T102649_036307_044286_F8CA-SLC,12,10
S1A_IW_SLC__1SDV_20210114T102647_20210114T102714_036132_043C74_EB9A,S1A_IW_SLC__1SDV_20210114T102647_20210114T102714_036132_043C74_EB9A-SLC,S1A_IW_SLC__1SDV_20210126T102647_20210126T102714_036307_044286_0A33,S1A_IW_SLC__1SDV_20210126T102647_20210126T102714_036307_044286_0A33-SLC,12,10
S1A_IW_SLC__1SDV_20210103T110726_20210103T110753_035972_0436D8_BD1A,S1A_IW_SLC__1SDV_20210103T110726_20210103T110753_035972_0436D8_BD1A-SLC,S1A_IW_SLC__1SDV_20210115T110750_20210115T110819_036147_043CFC_986A,S1A_IW_SLC__1SDV_20210115T110750_20210115T110819_036147_043CFC_986A-SLC,12,25
S1A_IW_SLC__1SDV_20210103T110751_20210103T110820_035972_0436D8_EF1E,S1A_IW_SLC__1SDV_20210103T110751_20210103T110820_035972_0436D8_EF1E-SLC,S1A_IW_SLC__1SDV_20210127T110725_20210127T110752_036322_044313_0488,S1A_IW_SLC__1SDV_20210127T110725_20210127T110752_036322_044313_0488-SLC,23,25
S1A_IW_SLC__1SDV_20210115T110725_20210115T110752_036147_043CFC_BEC3,S1A_IW_SLC__1SDV_20210115T110725_20210115T110752_036147_043CFC_BEC3-SLC,S1A_IW_SLC__1SDV_20210127T110725_20210127T110752_036322_044313_0488,S1A_IW_SLC__1SDV_20210127T110725_20210127T110752_036322_044313_0488-SLC,12,25
S1A_IW_SLC__1SDV_20210115T110750_20210115T110819_036147_043CFC_986A,S1A_IW_SLC__1SDV_20210115T110750_20210115T110819_036147_043CFC_986A-SLC,S1A_IW_SLC__1SDV_20210127T110750_20210127T110819_036322_044313_AA7A,S1A_IW_SLC__1SDV_20210127T110750_20210127T110819_036322_044313_AA7A-SLC,12,25
S1A_IW_SLC__1SDV_20210103T214904_20210103T214931_035979_04370E_ADA5,S1A_IW_SLC__1SDV_20210103T214904_20210103T214931_035979_04370E_ADA5-SLC,S1A_IW_SLC__1SDV_20210115T214904_20210115T214931_036154_043D32_A14A,S1A_IW_SLC__1SDV_20210115T214904_20210115T214931_036154_043D32_A14A-SLC,12,32
S1A_IW_SLC__1SDV_20210103T214929_20210103T214956_035979_04370E_95C0,S1A_IW_SLC__1SDV_20210103T214929_20210103T214956_035979_04370E_95C0-SLC,S1A_IW_SLC__1SDV_20210115T214953_20210115T215020_036154_043D32_7992,S1A_IW_SLC__1SDV_20210115T214953_20210115T215020_036154_043D32_7992-SLC,12,32
S1A_IW_SLC__1SDV_20210103T214954_20210103T215021_035979_04370E_C0C6,S1A_IW_SLC__1SDV_20210103T214954_20210103T215021_035979_04370E_C0C6-SLC,S1A_IW_SLC__1SDV_20210115T215018_20210115T215045_036154_043D32_912D,S1A_IW_SLC__1SDV_20210115T215018_20210115T215045_036154_043D32_912D-SLC,12,32
S1A_IW_SLC__1SDV_20210103T215019_20210103T215046_035979_04370E_234D,S1A_IW_SLC__1SDV_20210103T215019_20210103T215046_035979_04370E_234D-SLC,S1A_IW_SLC__1SDV_20210115T215043_20210115T215111_036154_043D32_C137,S1A_IW_SLC__1SDV_20210115T215043_20210115T215111_036154_043D32_C137-SLC,12,32
S1A_IW_SLC__1SDV_20210103T215043_20210103T215111_035979_04370E_C461,S1A_IW_SLC__1SDV_20210103T215043_20210103T215111_035979_04370E_C461-SLC,S1A_IW_SLC__1SDV_20210115T215043_20210115T215111_036154_043D32_C137,S1A_IW_SLC__1SDV_20210115T215043_20210115T215111_036154_043D32_C137-SLC,12,32
S1A_IW_SLC__1SDV_20210103T215109_20210103T215136_035979_04370E_0198,S1A_IW_SLC__1SDV_20210103T215109_20210103T215136_035979_04370E_0198-SLC,S1A_IW_SLC__1SDV_20210115T215109_20210115T215136_036154_043D32_2AB4,S1A_IW_SLC__1SDV_20210115T215109_20210115T215136_036154_043D32_2AB4-SLC,12,32
S1A_IW_SLC__1SDV_20210103T215134_20210103T215201_035979_04370E_6C00,S1A_IW_SLC__1SDV_20210103T215134_20210103T215201_035979_04370E_6C00-SLC,S1A_IW_SLC__1SDV_20210115T215158_20210115T215225_036154_043D32_46AF,S1A_IW_SLC__1SDV_20210115T215158_20210115T215225_036154_043D32_46AF-SLC,12,32
S1A_IW_SLC__1SDV_20210103T215159_20210103T215226_035979_04370E_1096,S1A_IW_SLC__1SDV_20210103T215159_20210103T215226_035979_04370E_1096-SLC,S1A_IW_SLC__1SDV_20210115T215223_20210115T215250_036154_043D32_1F1D,S1A_IW_SLC__1SDV_20210115T215223_20210115T215250_036154_043D32_1F1D-SLC,12,32
S1A_IW_SLC__1SDV_20210103T215224_20210103T215251_035979_04370E_73D6,S1A_IW_SLC__1SDV_20210103T215224_20210103T215251_035979_04370E_73D6-SLC,S1A_IW_SLC__1SDV_20210127T214903_20210127T214930_036329_04434B_F7F4,S1A_IW_SLC__1SDV_20210127T214903_20210127T214930_036329_04434B_F7F4-SLC,23,32
S1A_IW_SLC__1SDV_20210115T214904_20210115T214931_036154_043D32_A14A,S1A_IW_SLC__1SDV_20210115T214904_20210115T214931_036154_043D32_A14A-SLC,S1A_IW_SLC__1SDV_20210127T214928_20210127T214955_036329_04434B_36F1,S1A_IW_SLC__1SDV_20210127T214928_20210127T214955_036329_04434B_36F1-SLC,12,32
S1A_IW_SLC__1SDV_20210115T214928_20210115T214955_036154_043D32_23EF,S1A_IW_SLC__1SDV_20210115T214928_20210115T214955_036154_043D32_23EF-SLC,S1A_IW_SLC__1SDV_20210127T214928_20210127T214955_036329_04434B_36F1,S1A_IW_SLC__1SDV_20210127T214928_20210127T214955_036329_04434B_36F1-SLC,12,32
S1A_IW_SLC__1SDV_20210115T214953_20210115T215020_036154_043D32_7992,S1A_IW_SLC__1SDV_20210115T214953_20210115T215020_036154_043D32_7992-SLC,S1A_IW_SLC__1SDV_20210127T214953_20210127T215020_036329_04434B_141C,S1A_IW_SLC__1SDV_20210127T214953_20210127T215020_036329_04434B_141C-SLC,12,32
S1A_IW_SLC__1SDV_20210115T215018_20210115T215045_036154_043D32_912D,S1A_IW_SLC__1SDV_20210115T215018_20210115T215045_036154_043D32_912D-SLC,S1A_IW_SLC__1SDV_20210127T215018_20210127T215045_036329_04434B_B55F,S1A_IW_SLC__1SDV_20210127T215018_20210127T215045_036329_04434B_B55F-SLC,12,32
S1A_IW_SLC__1SDV_20210115T215043_20210115T215111_036154_043D32_C137,S1A_IW_SLC__1SDV_20210115T215043_20210115T215111_036154_043D32_C137-SLC,S1A_IW_SLC__1SDV_20210127T215043_20210127T215110_036329_04434B_1D39,S1A_IW_SLC__1SDV_20210127T215043_20210127T215110_036329_04434B_1D39-SLC,12,32
S1A_IW_SLC__1SDV_20210115T215109_20210115T215136_036154_043D32_2AB4,S1A_IW_SLC__1SDV_20210115T215109_20210115T215136_036154_043D32_2AB4-SLC,S1A_IW_SLC__1SDV_20210127T215133_20210127T215200_036329_04434B_03FB,S1A_IW_SLC__1SDV_20210127T215133_20210127T215200_036329_04434B_03FB-SLC,12,32
S1A_IW_SLC__1SDV_20210115T215133_20210115T215201_036154_043D32_63A3,S1A_IW_SLC__1SDV_20210115T215133_20210115T215201_036154_043D32_63A3-SLC,S1A_IW_SLC__1SDV_20210127T215133_20210127T215200_036329_04434B_03FB,S1A_IW_SLC__1SDV_20210127T215133_20210127T215200_036329_04434B_03FB-SLC,12,32
S1A_IW_SLC__1SDV_20210115T215158_20210115T215225_036154_043D32_46AF,S1A_IW_SLC__1SDV_20210115T215158_20210115T215225_036154_043D32_46AF-SLC,S1A_IW_SLC__1SDV_20210127T215158_20210127T215225_036329_04434B_EF1A,S1A_IW_SLC__1SDV_20210127T215158_20210127T215225_036329_04434B_EF1A-SLC,12,32
S1A_IW_SLC__1SDV_20210115T215223_20210115T215250_036154_043D32_1F1D,S1A_IW_SLC__1SDV_20210115T215223_20210115T215250_036154_043D32_1F1D-SLC,S1A_IW_SLC__1SDV_20210127T215223_20210127T215250_036329_04434B_63BE,S1A_IW_SLC__1SDV_20210127T215223_20210127T215250_036329_04434B_63BE-SLC,12,32
S1A_IW_SLC__1SDV_20210104T223058_20210104T223128_035994_043783_68FB,S1A_IW_SLC__1SDV_20210104T223058_20210104T223128_035994_043783_68FB-SLC,S1A_IW_SLC__1SDV_20210116T223125_20210116T223153_036169_043DA9_9957,S1A_IW_SLC__1SDV_20210116T223125_20210116T223153_036169_043DA9_9957-SLC,12,47
